"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 15:16:56 GMT 2024","Thu Oct 17 15:16:57 GMT 2024","811","","","","","","Choosing a Country from a Dropdown Menu",""
"passed","Thu Oct 17 15:16:33 GMT 2024","Thu Oct 17 15:16:51 GMT 2024","17946","","","","","","Opening and Verifying a Blog Page in a New Window",""
"passed","Thu Oct 17 15:17:00 GMT 2024","Thu Oct 17 15:17:01 GMT 2024","1071","","","","","","Checking the Value of the Third item in the Price Table",""
"passed","Thu Oct 17 15:16:57 GMT 2024","Thu Oct 17 15:16:58 GMT 2024","809","","","","","","Selecting an Option from a Dropdown Menu",""
"passed","Thu Oct 17 15:16:31 GMT 2024","Thu Oct 17 15:16:33 GMT 2024","1897","","","","","","Navigating to a Support Link Within an Iframe",""
"passed","Thu Oct 17 15:17:01 GMT 2024","Thu Oct 17 15:17:02 GMT 2024","916","","","","","","Hiding a Visible Text Box",""
"passed","Thu Oct 17 15:16:51 GMT 2024","Thu Oct 17 15:16:55 GMT 2024","4673","","","","","","Opening and Verifying a Blog Page in a New Tab",""
"passed","Thu Oct 17 15:16:55 GMT 2024","Thu Oct 17 15:16:56 GMT 2024","742","","","","","","Selecting an Option in a Radio Button",""
"passed","Thu Oct 17 15:16:59 GMT 2024","Thu Oct 17 15:17:00 GMT 2024","791","","","","","","Displaying a Custom Confirm Dialog with a Custom Name",""
"passed","Thu Oct 17 15:16:27 GMT 2024","Thu Oct 17 15:16:31 GMT 2024","4043","","","","","","Displaying the Contextual Menu via Mouse Hover",""
"passed","Thu Oct 17 15:17:02 GMT 2024","Thu Oct 17 15:17:03 GMT 2024","862","","","","","","Toggling Visibility of a Text Box",""
"broken","Thu Oct 17 15:16:59 GMT 2024","Thu Oct 17 15:16:59 GMT 2024","819","","","","","","Displaying a Custom Alert with the Name",""
"passed","Thu Oct 17 15:16:58 GMT 2024","Thu Oct 17 15:16:59 GMT 2024","822","","","","","","Verifying Multiple Checkbox Selections",""
